Arquivo,Status,Testes,Comentários,Ação Recomendada
src/schemas/checklist_schemas.py,✅,Presente,"Cobertura de testes unitários, documentação inline.",Revisar cenários de borda
src/schemas/parametros_legais_schemas.py,✅,Presente,"Cobertura de testes unitários, documentação inline.",Revisar cenários de borda
src/schemas/folha_processada_schemas.py,✅,Presente,"Cobertura de testes unitários, documentação inline.",Revisar cenários de borda
src/schemas/cct_schemas.py,✅,Presente,"Cobertura de testes unitários, documentação inline.",Revisar cenários de borda
src/schemas/rbac_schemas.py,✅,Presente,"Cobertura de testes unitários, documentação inline.",Revisar cenários de borda
src/ai_agent.py,❌,Ausente,"Agente IA autônomo não implementado.",Implementar integração Gemini e automações
portal_demandas/api.py,🔄,Parcial,"CRUD básico implementado, falta integração frontend e testes de integração.",Expandir funcionalidades e integração
portal_demandas/models.py,✅,Presente,"Modelo Pydantic implementado.",Revisar campos e validações
portal_demandas/db.py,✅,Presente,"Integração com banco Postgres.",Revisar migrations e segurança
portal_demandas/tests/test_api.py,🔄,Parcial,"Testes unitários presentes, falta integração.",Adicionar testes de integração
automation/cron_legislacao.py,❌,Ausente,"Script não implementado.",Implementar busca diária de legislação
automation/robot_esocial.py,❌,Ausente,"Robô eSocial não implementado.",Implementar automação eSocial
automation/cron_comunicados.py,🔄,Parcial,"Script presente, falta integração IA.",Integrar com geração de comunicados
automation/onboarding.py,🔄,Parcial,"Script presente, falta integração com Portal Demandas.",Integrar onboarding automatizado
src/models/README.md,✅,Presente,"Documentação criada.",Expandir exemplos
src/services/README.md,✅,Presente,"Documentação criada.",Expandir exemplos
src/utils/README.md,✅,Presente,"Documentação criada.",Expandir exemplos
dashboards/app.py,🔄,Parcial,"Funcionalidade principal implementada, falta integração IA.",Implementar integração IA
dashboards/pages/2_📝_Checklist.py,🔄,Parcial,"Checklist implementado, falta automação IA.",Adicionar automação IA
dashboards/pages/0_💼_Gerenciamento_de_Usuarios.py,🔄,Parcial,"Página implementada, falta integração backend.",Integrar com Portal Demandas
dashboards/pages/1_📈_Dashboard_Folha.py,🔄,Parcial,"Página implementada, falta integração backend.",Integrar com APIs de folha
dashboards/pages/3_🤖_Consultor_de_Riscos.py,🔄,Parcial,"Página implementada, falta integração IA.",Integrar com IA de riscos
dashboards/pages/4_📊_Gestão_de_CCTs.py,🔄,Parcial,"Página implementada, falta integração backend.",Integrar com APIs de CCTs
dashboards/pages/5_🔍_Revisão_Cláusulas_CCT.py,🔄,Parcial,"Página implementada, falta integração backend.",Integrar com APIs de cláusulas
dashboards/pages/5_🗓️_Obrigações_e_Prazos.py,🔄,Parcial,"Página implementada, falta integração backend.",Integrar com APIs de obrigações
dashboards/pages/6_⚙️_Admin_Parâmetros_Legais.py,🔄,Parcial,"Página implementada, falta integração backend.",Integrar com APIs de parâmetros legais
dashboards/pages/7_💡_Sugestões_CCT.py,🔄,Parcial,"Página implementada, falta integração IA.",Integrar com IA de sugestões
dashboards/pages/8_📊_Benchmarking_Anonimizado.py,🔄,Parcial,"Página implementada, falta integração backend.",Integrar com APIs de benchmarking
dashboards/pages/99_Admin_Trilha_Auditoria.py,🔄,Parcial,"Página implementada, falta integração backend.",Integrar com APIs de trilha
